CONTABILIDAD	OFICINA	MONEDA	PRODUCTO	OPERACION	NUMERO_SEGURIDAD	TIPO_MITIGADOR	TIPO_DOCUMENTO_LEGAL	MONTO_MITIGADOR	FECHA_PRESENTACION	INDICADOR_INSCRIPCION	PORCENTAJE_ACEPTACION	FECHA_CONSTITUCION	GRADO_GRAVAMEN	GRADO_PRIORIDAD	MONTO_PRIORIDAD	TIPO_PERSONA_ACREEDOR	CEDULA_ACREEDOR	FECHA_VENCIMIENTO	OPERACION_ESPECIAL	CLASIFICACION_INSTRUMENTO	INSTRUMENTO	SERIE_INSTRUMENTO	TIPO_PERSONA_EMISOR	CEDULA_EMISOR	PREMIO	ISIN	VALOR_FACIAL	MONEDA_VALOR_FACIAL	VALOR_MERCADO	MONEDA_VALOR_MERCADO	MONTO_RESPONSABILIDAD	MONEDA_GARANTIA	CEDULA_DEUDOR	NOMBRE_DEUDOR	OFICINA_DEUDOR	ES_CONTRATO_VENCIDO	PORCENTAJE_RESPONSABILIDAD
1	485	1	3	2400987	26670			0.00			100.00	22/04/2002				2	4000000019		0														45027	COOPERATIVA DE AHORRO Y CREDITO ANDE NO.1 RL 	562	1		
1	947	2	3	2401544	70993						100.00	30/08/2002				2	4000000019		0														70993	CEMACO INTERNACIONAL S A                     	405	0		
1	905	1	3	2401926	45110			0.00			100.00	24/05/2002				2	4000000019		0														45110	COOPECAJA R.L.                               	562	0		
1	210	1	3	2403107	60097789			0.00			100.00	29/05/2002				2	4000000019		0														45044	COOP NAL PRODUCTORES DE SAL RL               	596	0		
1	245	1	3	2403544	62601225	10	21	0.00			100.00	27/05/2004				2	4000000019	28/05/2014	0	4	ICNN		2	4000000019	0.00	NO	100997.88	2	100997.88	2			24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	62661572	10	21	0.00			100.00	27/05/2004				2	4000000019	28/05/2014	0	4	ICNN		2	4000000019	0.00	NO	56149.24	2	56149.24	2			24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	63396291	10	21	0.00			100.00	28/11/2012				2	4000000019	28/05/2013	0	4	ICNN		2	4000000019	0.00	NO	27812964.54	2	27812964.54	2			24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	63477880	10	21	0.00			100.00	22/02/2013				2	4000000019	22/08/2013	0	4	ICNN		2	4000000019	0.00	NO	49836393.91	2	49836393.91	2			24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	64141356						100.00	27/05/2002				2	4000000019	28/05/2002	0												9000.00	2	24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	64198519						100.00	27/05/2002				2	4000000019	28/05/2002	0												9000.00	2	24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	1	3	2403544	64271008						100.00	27/05/2002				2	4000000019	28/05/2002	0												44600.00	2	24382	ADUANERA DEL OESTE S A                       	242	0		
1	558	1	3	2404120	64194508						100.00	20/07/2002				2	4000000019	20/07/2002	0												100000000.00	1	98057	MAQUINARIA CONSTRUCCIONES Y MATERIALES MACOMA	594	0		
1	558	1	3	2404121	64194508						100.00	20/07/2002				2	4000000019	20/07/2002	0												100000000.00	1	98057	MAQUINARIA CONSTRUCCIONES Y MATERIALES MACOMA	594	0		
1	594	2	3	2404287	64079204						100.00	09/11/2002				2	4000000019	09/11/2002	0												82035.07	2	143945	CORPORACION BRONCOS DE CENTROAMERICA S A     	594	0		
1	594	2	3	2404287	64079205						100.00	09/11/2002				2	4000000019	09/11/2002	0												83150.56	2	143945	CORPORACION BRONCOS DE CENTROAMERICA S A     	594	0		
1	594	2	3	2404287	64086618						100.00	09/11/2002				2	4000000019	09/11/2002	0												77463.35	2	143945	CORPORACION BRONCOS DE CENTROAMERICA S A     	594	0		
1	594	2	3	2404287	64135267						100.00	09/11/2002				2	4000000019	09/11/2002	0												75000.00	2	143945	CORPORACION BRONCOS DE CENTROAMERICA S A     	594	0		
1	596	2	3	2404518	63713298	12	21	0.00			100.00	17/12/2013				2	4000000019	17/06/2014	0	4	ICNN		2	4000000019	0.00	NO	54859262.90	1	54859262.90	1			225711	GANADERIA DIAMANTE S A                       	596	0		
1	596	2	3	2404518	63713349	12	21	0.00			100.00	17/12/2013				2	4000000019	17/06/2014	0	4	ICNN		2	4000000019	0.00	NO	63547.26	2	63547.26	2			225711	GANADERIA DIAMANTE S A                       	596	0		
1	245	2	3	2404683	63477880	10	21	0.00			100.00	22/02/2013				2	4000000019	22/08/2013	0	4	ICNN		2	4000000019	0.00	NO	49836393.91	2	49836393.91	2			24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	2	3	2404683	64141356						100.00	27/05/2002				2	4000000019	28/05/2002	0												9000.00	2	24382	ADUANERA DEL OESTE S A                       	242	0		
1	245	2	3	2404683	64198519						100.00	27/05/2002				2	4000000019	28/05/2002	0												9000.00	2	24382	ADUANERA DEL OESTE S A                       	242	0		
1	405	2	3	2404809	64116611						100.00	15/11/2002				2	4000000019	15/11/2002	0												1000000.00	2	3102542215	DESARROLLOS VENTOTENE SOCIEDAD DE RESPONSABIL	405	0		
1	405	2	3	2404810	64116611						100.00	15/11/2002				2	4000000019	15/11/2002	0												1000000.00	2	3102542055	MONTEVARCHI SOCIEDAD DE RESPONSABILIDAD LIMIT	405	0		
1	261	1	3	2405031	3326263	15	21	40239935.45	05/07/2005	0	70.00	05/07/2005	2			2	4000000019	05/07/2025	0	3	inm$2	BCRSF	2	3101249051	0.00	CRBCRSFL0029	47124000.00	2	47124000.00	2	33000000.00	1	138070	HACIENDA AGRICOLA SAN ISIDRO DE CANAS SOC.ANO	210	0		
