prmca_pco_ofici	prmca_pco_moned	prmca_pco_produc	prmca_pnu_contr	prmoc_pco_ofici	prmoc_pco_moned	prmoc_pco_produ	prmoc_pnu_oper	prmoc_psa_actual
341	1	0	2400931	259	1	2	5933544	30828794.900000	
905	1	0	2400935	905	1	2	5789443	248397.200000	
905	1	0	2400935	905	1	2	5837415	1427749.960000	
905	1	0	2400935	905	1	2	5910287	859510.380000	
905	1	0	2400935	905	1	2	5912236	333149.970000	
215	1	0	2400938	131	1	2	5913718	30077032.700000	
660	1	0	2400948	259	1	2	5927607	11418343.600000	
485	1	3	2400987	931	1	3	5827528	18229166.980000	
485	1	3	2400987	931	1	3	5825290	4114583.340000	
485	1	3	2400987	931	1	3	5830202	24131944.750000	
485	1	3	2400987	931	1	3	5821967	1354166.360000	
485	1	3	2400987	931	1	3	5836680	9672618.760000	
485	1	3	2400987	931	1	3	5826756	16183036.030000	
346	2	0	2401017	346	2	2	5855487	107535413.273600	
334	1	0	2401030	334	1	2	5907601	5784060.470000	
290	1	0	2401049	252	1	2	5940569	8752317.550000	
290	1	0	2401049	252	1	2	5926044	13814900.500000	
280	2	0	2401053	280	2	2	5788226	446563.039200	
280	2	0	2401053	280	2	2	5926936	10203068.337200	
280	2	0	2401053	259	2	2	5938066	16808477.310800	
297	1	0	2401083	297	1	2	5812591	25643668.630000	
215	1	0	2401106	215	1	2	5802337	2960020.150000	
290	1	0	2401119	290	1	2	5928356	3587173.450000	
290	1	0	2401119	290	1	2	5854130	3203509.360000	
297	1	0	2401125	297	1	2	5816336	8794364.220000	
303	1	0	2401126	259	1	2	5924829	7400589.550000	
303	1	0	2401126	259	1	2	5924831	37595590.400000	
303	1	0	2401132	303	1	2	5918204	9766061.350000	
215	1	0	2401133	215	1	2	5781880	9513100.540000	
250	1	0	2401153	250	1	2	5912686	3004691.950000	
265	1	0	2401171	265	1	2	5862422	2260064.680000	
215	1	0	2401177	215	1	2	5791800	3720601.430000	
215	1	0	2401177	215	1	2	5837243	1918834.470000	
215	1	0	2401177	215	1	2	5827305	1122221.440000	
215	1	0	2401177	215	1	2	5851944	5199730.840000	
250	1	0	2401192	250	1	2	5929922	29486255.100000	
334	1	0	2401216	334	1	2	5832078	36316.130000	
255	1	0	2401238	259	1	2	5933961	20028566.000000	
210	1	0	2401249	210	1	2	5902269	1988808.830000	
210	1	0	2401249	210	1	2	5947025	7993663.070000	
931	1	3	2401255	558	1	3	5946949	10000000.000000	
931	1	3	2401255	558	1	3	5947389	10000000.000000	
931	1	3	2401255	558	1	3	5945146	8333333.340000	
931	1	3	2401255	254	1	3	5945420	7795698.940000	
931	1	3	2401255	254	1	3	5944309	7138888.910000	
931	1	3	2401255	254	1	3	5944310	6944444.460000	
931	1	3	2401255	558	1	3	5945715	8172043.020000	
297	1	0	2401280	297	1	2	5809470	2310344.290000	
290	1	0	2401281	290	1	2	5847032	796627.900000	
285	1	0	2401288	285	1	2	5943748	17087756.300000	
285	1	0	2401288	285	1	2	5821493	759939.900000	
285	1	0	2401288	253	1	2	5939725	18262848.450000	
285	1	0	2401288	285	1	2	5947003	9000000.000000	
285	1	0	2401288	521	1	2	5905545	4092559.050000	
285	1	0	2401288	285	1	2	5918126	20739229.750000	
285	1	0	2401288	521	1	2	5929217	22361770.100000	
953	2	0	2401293	953	2	2	5937376	45702134.391400	
953	1	0	2401294	953	1	2	5918590	4381028.550000	
953	1	0	2401294	953	1	2	5939901	9682751.950000	
