prmca_pco_ofici	prmca_pco_moned	prmca_pco_produc	prmca_pnu_contr	prmca_pmo_maxim	prmca_pmo_utiliz	prmca_pmo_reserv	prmca_psa_discon	prmca_psa_conta	saldo_actual_giros	monto_mitigador
215	1	0	7	1586115000.00	0.00	0.00	0.00	0.00	0.00	5125684620.48	
407	1	0	2400598	5338045000.00	0.00	0.00	0.00	0.00	0.00	445326808.06	
215	1	0	2400776	830360000.00	0.00	0.00	0.00	0.00	0.00	147882337.30	
403	1	3	2400816	10300000000.00	0.00	0.00	10300000000.00	10300000000.00	0.00	0.00	
377	1	3	2400850	3600000000.00	393806263.49	0.00	3206193736.51	3206193736.51	391228943.49	0.00	
346	1	0	2400869	27000000.00	0.00	0.00	27000000.00	27000000.00	0.00	0.00	
346	1	0	2400886	16000000.00	0.00	0.00	16000000.00	16000000.00	0.00	0.00	
297	1	0	2400921	20000000.00	7774497.15	0.00	12225502.85	12225502.85	7774497.15	20000000.00	
341	1	0	2400931	60000000.00	51759107.93	0.00	8240892.07	8240892.07	32981923.18	123504560.00	
905	1	0	2400935	24000000.00	22259724.26	0.00	1740275.74	1740275.74	22259724.26	16408036.88	
297	1	0	2400936	70000000.00	16866625.06	0.00	53133374.94	53133374.94	16866625.06	70000000.00	
215	1	0	2400938	35000000.00	35000000.00	0.00	0.00	0.00	35000000.00	63128824.10	
346	1	0	2400939	250000000.00	121491214.38	0.00	128508785.62	128508785.62	121491214.38	1020938042.93	
334	1	0	2400942	35000000.00	0.00	0.00	35000000.00	35000000.00	0.00	50308601.07	
660	1	0	2400948	40000000.00	8164048.70	0.00	31835951.30	31835951.30	8054280.82	37713162.19	
230	1	0	2400949	68300000.00	382383.03	0.00	67917616.97	67917616.97	382383.03	68300000.00	
290	1	0	2400951	15000000.00	14985749.16	0.00	14250.84	14250.84	7800000.00	15000000.00	
346	1	0	2400958	80000000.00	53225966.11	0.00	26774033.89	26774033.89	53225966.11	0.00	
905	2	3	2400966							0.00	
250	1	0	2400975	10000000.00	5453905.39	0.00	4546094.61	4546094.61	0.00	0.00	
230	1	0	2400981	35000000.00	0.00	0.00	35000000.00	35000000.00	0.00	32112124.79	
343	1	0	2400983	15000000.00	1856750.81	0.00	13143249.19	13143249.19	1856750.81	15000000.00	
255	1	0	2400985	100000000.00	99215446.60	0.00	784553.40	784553.40	99215446.60	0.00	
485	1	3	2400987	5000000000.00	0.00	0.00	0.00	0.00	1487788038.26	0.00	
931	1	3	2400996	75000000.00	0.00	0.00	75000000.00	75000000.00	0.00	75893697.40	
297	1	0	2401008	30000000.00	8017522.82	0.00	21982477.18	21982477.18	8017522.82	30000000.00	
346	2	0	2401017							737448453.58	
334	1	0	2401022	20000000.00	15557555.37	0.00	4442444.63	4442444.63	2150245.76	20000000.00	
334	1	0	2401027	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	36601388.22	
334	1	0	2401030	12000000.00	11071017.55	0.00	928982.45	928982.45	11071017.55	132365475.20	
483	1	3	2401042	2500000000.00	0.00	0.00	0.00	0.00	56571847.89	0.00	
290	1	0	2401049	34000000.00	21715210.04	0.00	12284789.96	12284789.96	11042003.28	18921338.36	
280	2	0	2401053							615062853.87	
255	1	0	2401077	38000000.00	20333176.58	0.00	17666823.42	17666823.42	10027197.73	36660008.77	
297	1	0	2401083	100000000.00	56723419.93	0.00	43276580.07	43276580.07	56723419.93	181684251.81	
280	2	0	2401088							376311859.90	
205	1	0	2401093	210000000.00	120907437.10	0.00	89092562.90	89092562.90	92025668.62	228392794.08	
290	1	0	2401099	15000000.00	11253561.27	0.00	3746438.73	3746438.73	0.00	89227303.99	
210	1	3	2401103	20000000.00	0.00	19530223.60	469776.40	20000000.00	0.00	1000000.00	
215	1	0	2401106	90000000.00	40679721.24	0.00	49320278.76	49320278.76	27563089.48	119440245.55	
297	1	0	2401107	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	49520956.75	
290	1	0	2401109	30000000.00	0.00	0.00	0.00	0.00	0.00	30000000.00	
215	1	0	2401110	94000000.00	0.00	0.00	0.00	0.00	0.00	234091446.29	
290	1	0	2401119	15000000.00	13212165.17	0.00	1787834.83	1787834.83	5291521.71	12028501.48	
297	1	0	2401125	50000000.00	23439143.09	0.00	26560856.91	26560856.91	23439143.09	0.00	
303	1	0	2401126	72000000.00	22472308.04	0.00	49527691.96	49527691.96	22472308.04	52262828.77	
297	1	0	2401127	60000000.00	18156662.40	0.00	41843337.60	41843337.60	18156662.40	279404202.53	
303	1	0	2401132	11000000.00	0.00	0.00	11000000.00	11000000.00	0.00	0.00	
215	1	0	2401133	60000000.00	18113628.29	0.00	41886371.71	41886371.71	18113628.29	96857029.25	
341	1	0	2401136	20000000.00	14213620.07	0.00	5786379.93	5786379.93	0.00	21977198.35	
334	1	0	2401151	17500000.00	12791646.70	0.00	4708353.30	4708353.30	1343738.20	30598273.09	
250	1	0	2401153	6500000.00	6276261.75	0.00	223738.25	223738.25	6276261.75	2010418.35	
346	1	0	2401163	25000000.00	6599531.76	0.00	18400468.24	18400468.24	6599531.76	0.00	
307	1	0	2401164	80000000.00	13757596.05	0.00	66242403.95	66242403.95	13757596.05	142594777.74	
265	1	0	2401171	18000000.00	3028108.58	0.00	14971891.42	14971891.42	3028108.58	13204930.49	
215	1	0	2401177	150000000.00	75806703.65	405098.10	73788198.25	74193296.35	75806703.65	248580507.49	
334	1	0	2401178	47000000.00	0.00	0.00	47000000.00	47000000.00	0.00	0.00	
215	1	0	2401191	24000000.00	4285121.36	0.00	19714878.64	19714878.64	4285121.36	23293045.01	
250	1	0	2401192	35000000.00	34469276.20	0.00	530723.80	530723.80	34469276.20	36893941.88	
280	2	0	2401201							303019908.63	
285	1	0	2401202	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	19915545.91	
205	1	0	2401204	19000000.00	0.00	0.00	19000000.00	19000000.00	0.00	10029278.03	
303	1	0	2401206	38000000.00	0.00	0.00	38000000.00	38000000.00	0.00	0.00	
245	2	3	2401208							0.00	
245	2	3	2401209							0.00	
322	1	0	2401211	31000000.00	13425938.17	0.00	17574061.83	17574061.83	13113163.82	23506384.75	
953	1	0	2401213	63000000.00	20537512.10	0.00	42462487.90	42462487.90	20537512.10	63000000.00	
334	1	0	2401216	8000000.00	247141.63	0.00	7752858.37	7752858.37	247141.63	13681353.37	
343	1	0	2401223	5000000.00	1618600.72	0.00	3381399.28	3381399.28	1618600.72	5000000.00	
342	1	0	2401229	67500000.00	35105390.47	3100000.00	29294609.53	32394609.53	7964449.36	138720396.06	
334	1	0	2401230	11000000.00	0.00	0.00	11000000.00	11000000.00	0.00	0.00	
255	1	0	2401238	40000000.00	9214364.02	0.00	30785635.98	30785635.98	8805963.07	0.00	
215	1	0	2401240	61000000.00	29800249.24	0.00	31199750.76	31199750.76	29800249.24	130518122.04	
215	1	0	2401241	62000000.00	44867239.25	0.00	17132760.75	17132760.75	38436924.12	0.00	
953	1	0	2401242	60000000.00	0.00	0.00	60000000.00	60000000.00	0.00	32299919.78	
210	1	0	2401249	10000000.00	8652771.33	0.00	1347228.67	1347228.67	8652771.33	40700978.28	
265	1	0	2401250	20000000.00	10071980.03	0.00	9928019.97	9928019.97	5540251.97	10588279.38	
931	1	3	2401255	80000000.00	36600806.42	0.00	43399193.58	43399193.58	36600806.42	91212500.00	
346	1	0	2401262	25000000.00	0.00	0.00	25000000.00	25000000.00	0.00	25000000.00	
215	1	0	2401273	56000000.00	22282499.29	0.00	33717500.71	33717500.71	22282499.29	60542401.17	
297	1	0	2401280	30500000.00	9976712.29	0.00	20523287.71	20523287.71	5381724.79	25038507.51	
290	1	0	2401281	15000000.00	6449102.94	0.00	8550897.06	8550897.06	6449102.94	55905192.08	
285	1	0	2401288	110500000.00	85021462.58	0.00	25478537.42	25478537.42	44069999.08	189014129.77	
953	2	0	2401293							91254467.07	
953	1	0	2401294	25000000.00	10837976.64	0.00	14162023.36	14162023.36	10837976.64	1920313.66	
250	1	0	2401295	20000000.00	8826309.68	0.00	11173690.32	11173690.32	7093352.69	0.00	
297	1	0	2401296	38500000.00	16233349.65	0.00	22266650.35	22266650.35	16233349.65	46041962.40	
290	1	0	2401298	12000000.00	6695015.83	0.00	5304984.17	5304984.17	6578858.18	22154295.71	
297	1	0	2401300	20000000.00	9964461.70	0.00	10035538.30	10035538.30	9964461.70	19517276.97	
290	1	0	2401303	5000000.00	1546547.11	0.00	3453452.89	3453452.89	1546547.11	2835782.76	
290	1	0	2401306	4500000.00	1235834.83	0.00	3264165.17	3264165.17	0.00	1770020.55	
290	1	0	2401308	11000000.00	5475871.50	0.00	5524128.50	5524128.50	5475871.50	12106213.01	
215	1	0	2401315	15000000.00	4660744.23	0.00	10339255.77	10339255.77	4660744.23	15000000.00	
280	1	0	2401317	150000000.00	130164133.52	0.00	19835866.48	19835866.48	109324509.87	357272721.12	
334	1	0	2401320	9000000.00	0.00	0.00	0.00	0.00	0.00	6439832.40	
230	2	0	2401322							3615849999.98	
297	1	0	2401323	100000000.00	96058407.95	0.00	3941592.05	3941592.05	96058407.95	108741228.51	
265	1	0	2401331	13000000.00	4116753.17	0.00	8883246.83	8883246.83	4116753.17	12482415.48	
285	2	0	2401334							326506284.08	
290	1	0	2401335	20000000.00	14345918.96	0.00	5654081.04	5654081.04	14345918.96	45674949.98	
250	1	0	2401336	10000000.00	1912620.92	0.00	8087379.08	8087379.08	1912620.92	6487079.71	
255	1	0	2401337	28000000.00	24287089.07	0.00	3712910.93	3712910.93	20805690.67	0.00	
907	1	0	2401339	1976000000.00	0.00	0.00	0.00	0.00	248014661.56	783351655.02	
250	1	0	2401341	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	15375370.05	
215	1	0	2401345	31850000.00	24372712.55	0.00	7477287.45	7477287.45	24372712.55	25832456.86	
250	1	0	2401347	75000000.00	0.00	0.00	75000000.00	75000000.00	0.00	36654704.01	
297	1	0	2401349	15000000.00	4264445.54	0.00	10735554.46	10735554.46	4264445.54	15000000.00	
303	1	0	2401351	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	21867240.23	
215	1	0	2401357	52000000.00	0.00	0.00	52000000.00	52000000.00	0.00	63602715.97	
290	1	0	2401359	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	39445597.95	
250	1	0	2401361	40000000.00	14480223.56	0.00	25519776.44	25519776.44	14480223.56	20306020.97	
290	1	0	2401365	25000000.00	21979855.45	0.00	3020144.55	3020144.55	21979855.45	70119300.00	
295	1	0	2401367	105000000.00	91403371.05	0.00	13596628.95	13596628.95	43053813.04	0.00	
255	1	0	2401369	76000000.00	49375560.25	0.00	26624439.75	26624439.75	49375560.25	0.00	
215	1	0	2401370	125000000.00	90259106.46	0.00	34740893.54	34740893.54	90259106.46	140179082.48	
215	1	0	2401376	15000000.00	14011781.57	0.00	988218.43	988218.43	0.00	12461362.10	
240	1	0	2401377	68000000.00	0.00	0.00	68000000.00	68000000.00	0.00	77428469.03	
660	1	0	2401379	27000000.00	0.00	0.00	27000000.00	27000000.00	0.00	42886405.60	
346	1	0	2401381	15000000.00	997702.83	0.00	14002297.17	14002297.17	997702.83	15000000.00	
290	1	0	2401387	25000000.00	22545851.85	0.00	2454148.15	2454148.15	22407791.45	55299671.98	
346	1	0	2401390	3900000.00	1105207.96	0.00	2794792.04	2794792.04	0.00	0.00	
346	1	0	2401407	7500000.00	0.00	0.00	7500000.00	7500000.00	0.00	0.00	
334	1	0	2401410	30000000.00	0.00	0.00	0.00	0.00	0.00	43684030.48	
290	1	0	2401411	5000000.00	0.00	0.00	5000000.00	5000000.00	0.00	4646355.62	
345	1	0	2401415	6000000.00	2310291.51	0.00	3689708.49	3689708.49	1156403.96	7917037.00	
285	1	0	2401417	12400000.00	3164956.64	0.00	9235043.36	9235043.36	3164956.64	12400000.00	
265	1	0	2401418	11000000.00	9340159.77	0.00	1659840.23	1659840.23	9340159.77	6708853.94	
334	1	0	2401421	7000000.00	3927480.80	0.00	3072519.20	3072519.20	3927480.80	0.00	
660	1	0	2401422	37000000.00	24123109.89	0.00	12876890.11	12876890.11	20481372.54	36966593.37	
215	1	0	2401425	45000000.00	4705806.49	0.00	40294193.51	40294193.51	4705806.49	35163357.33	
290	1	0	2401427	12500000.00	9020174.86	0.00	3479825.14	3479825.14	9020174.86	0.00	
220	1	3	2401428	150000000.00	0.00	0.00	150000000.00	150000000.00	0.00	144262176.65	
290	1	0	2401429	50000000.00	45302255.08	0.00	4697744.92	4697744.92	45302255.08	64899413.70	
343	1	0	2401431	6000000.00	2505701.91	0.00	3494298.09	3494298.09	2505701.91	0.00	
290	1	0	2401432	100000000.00	37242404.26	0.00	62757595.74	62757595.74	37242404.26	100000000.00	
297	1	0	2401433	200000000.00	196204629.14	0.00	3795370.86	3795370.86	151273929.85	432542619.00	
255	1	0	2401434	75000000.00	0.00	0.00	0.00	0.00	0.00	75000000.00	
290	1	0	2401436	10000000.00	5915019.66	0.00	4084980.34	4084980.34	5915019.66	10000000.00	
295	1	0	2401445	50000000.00	0.00	0.00	50000000.00	50000000.00	0.00	50000000.00	
346	1	0	2401453	20000000.00	11072222.76	0.00	8927777.24	8927777.24	11072222.76	0.00	
290	1	0	2401458	10000000.00	5382832.73	0.00	4617167.27	4617167.27	5382832.73	9366237.38	
297	1	0	2401459	25000000.00	14551636.98	0.00	10448363.02	10448363.02	14551636.98	25000000.00	
935	1	0	2401462	45000000.00	26724705.70	0.00	18275294.30	18275294.30	26650484.20	81727154.58	
290	1	0	2401469	150000000.00	94809474.16	0.00	55190525.84	55190525.84	72337330.77	187782297.48	
290	1	0	2401475	10000000.00	7869657.25	0.00	2130342.75	2130342.75	3500000.00	10000000.00	
250	1	0	2401477	40000000.00	11185492.35	0.00	28814507.65	28814507.65	11185492.35	30997840.02	
660	1	0	2401483	7000000.00	0.00	0.00	0.00	0.00	0.00	4326909.21	
290	1	0	2401485	40000000.00	24209527.35	0.00	15790472.65	15790472.65	6415530.38	43962786.75	
255	1	0	2401488	30000000.00	28233875.84	0.00	1766124.16	1766124.16	28233875.84	0.00	
290	1	0	2401489	12000000.00	11598039.51	0.00	401960.49	401960.49	11598039.51	203925096.00	
334	1	0	2401492	130000000.00	54832424.62	0.00	75167575.38	75167575.38	54832424.62	199791798.92	
230	1	0	2401502	60000000.00	30773554.84	0.00	29226445.16	29226445.16	30773554.84	60000000.00	
